shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_1,19.430204,-99.123064,1,
shape_1,19.43054358514989,-99.12075589230183,2,245
shape_1,19.430390155230132,-99.11946949797374,3,381
shape_1,19.429766050043565,-99.11706656052051,4,642
shape_1,19.42961,-99.115135,5,846
shape_1,19.42933879062612,-99.11663856557298,6,1006
shape_1,19.42892374935643,-99.11888240784906,7,1246
shape_1,19.42894,-99.120751,8,1442
shape_1,19.430725279728822,-99.11848634734623,9,1751
shape_1,19.431299547360098,-99.11607016145497,10,2013
shape_1,19.4325247580808,-99.11390162783395,11,2278
shape_1,19.434352,-99.111019,12,2642
shape_1,19.435166420299453,-99.11614225519536,13,3187
shape_1,19.435418957032773,-99.12008107523421,14,3601
shape_1,19.435595,-99.125309,15,4149
shape_1,19.433932707135277,-99.12436915792817,16,4359
shape_1,19.430869477967384,-99.12220597506123,17,4768
shape_1,19.429648288267444,-99.12136041346861,18,4930
shape_1,19.427043,-99.119872,19,5259
shape_1,19.428481763651952,-99.12146434000823,20,5490
shape_1,19.429084825682608,-99.12238594729013,21,5608
shape_1,19.429888,-99.12406,22,5805
